Query_number,doc_number
1,100323
1,100584
1,101071
1,10399
1,104260
1,104548
1,104625
1,106356
1,412000
1,325777
2,224305
2,253587
2,312367
2,418729
2,294678
2,500758
2,376731
2,127923
2,290521
2,437775
3,248484
3,349834
3,206697
3,373906
3,411478
3,469351
3,401617
3,449736
3,25659
3,204451
4,41971
4,83789
4,297398
4,385734
4,179356
4,442403
4,39261
4,346146
4,215320
4,379775
5,173728
5,499720
5,36883
5,180389
5,272633
5,101962
5,194601
5,271110
5,121784
5,243344
6,61317
6,374321
6,20626
6,123463
6,115226
6,367018
6,271779
6,237696
6,260748
6,480247
7,32153
7,432540
7,79653
7,188768
7,284933
7,492653
7,82800
7,170946
7,259747
7,37538
8,312312
8,315952
8,69097
8,311205
8,76139
8,406210
8,6612
8,334330
8,456624
8,223570
9,388044
9,403081
9,235101
9,87377
9,130614
9,298548
9,213578
9,214706
9,334977
9,382221
10,374419
10,142478
10,297073
10,89072
10,186135
10,294810
10,446419
10,9488
10,297761
10,223063
11,275918
11,62215
11,484043
11,39991
11,259796
11,96546
11,23306
11,370118
11,112612
11,102502
12,364960
12,391903
12,366218
12,409417
12,446807
12,122226
12,347188
12,39859
12,250938
12,352090
13,187311
13,12416
13,144834
13,128003
13,204070
13,267779
13,316501
13,395545
13,62544
13,313534
14,8123
14,4073
14,382539
14,120540
14,304025
14,60161
14,400428
14,482219
14,376011
14,110497
15,25859
15,195912
15,259604
15,156247
15,196037
15,321262
15,88941
15,271330
15,254878
15,283901
16,499900
16,41788
16,13077
16,122344
16,255460
16,230037
16,472353
16,352074
16,363205
16,162017
17,304484
17,362324
17,488744
17,80311
17,76700
17,173814
17,190614
17,46101
17,476354
17,442493
18,426872
18,96953
18,19726
18,179059
18,382209
18,289586
18,313961
18,275622
18,363897
18,350565
19,219348
19,409214
19,325637
19,428130
19,471672
19,90208
19,241846
19,238504
19,461914
19,412330
20,209544
20,60258
20,240286
20,170417
20,20998
20,242513
20,200927
20,367237
20,321428
20,500885
21,229100
21,250951
21,389777
21,325730
21,218008
21,438632
21,367532
21,73600
21,131267
21,127566
22,353983
22,423691
22,404010
22,312518
22,390939
22,498200
22,481936
22,335999
22,63425
22,101559
23,187311
23,12416
23,144834
23,128003
23,204070
23,267779
23,316501
23,395545
23,43439
23,95838
24,394171
24,111696
24,388815
24,468558
24,403998
24,15626
24,454948
24,115568
24,420859
24,27099
25,373265
25,28377
25,404983
25,99235
25,389631
25,50659
25,191280
25,353345
25,181268
25,46832
26,160937
26,419204
26,481721
26,239315
26,145797
26,330865
26,142266
26,126057
26,108770
26,164147
27,96644
27,376176
27,452384
27,299523
27,309504
27,343741
27,154647
27,405180
27,66725
27,383585
28,110548
28,44393
28,106693
28,228681
28,339935
28,123768
28,438453
28,227208
28,258909
28,229576
29,89419
29,50801
29,419105
29,404795
29,396671
29,422657
29,297820
29,2274
29,234316
29,287998
30,365299
30,102974
30,368528
30,114403
30,363739
30,171306
30,351135
30,149479
30,156919
30,91148
31,187311
31,12416
31,144834
31,373968
31,391411
31,128003
31,204070
31,267779
31,316501
31,109172
32,275802
32,250282
32,324496
32,179279
32,378176
32,14381
32,460225
32,112326
32,380409
32,138552
33,374817
33,205197
33,22153
33,372234
33,478015
33,199273
33,82580
33,101578
33,271531
33,34263
34,312312
34,297073
34,165339
34,69097
34,76139
34,122511
34,312727
34,427440
34,459977
34,57734
35,359159
35,187311
35,12416
35,144834
35,128003
35,204070
35,267779
35,316501
35,482904
35,395545
37,267530
37,251909
37,66220
37,112030
37,181739
37,243332
37,369789
37,96366
37,365897
37,34030
38,346296
38,34505
38,296430
38,257270
38,375122
38,434716
38,83450
38,269908
38,336984
38,456776
39,211082
39,312518
39,123558
39,256449
39,365129
39,270699
39,109884
39,328126
39,277429
39,226012
40,186209
40,37071
40,406002
40,189841
40,497428
40,254881
